ID_RECEBIVEL;SEU_NUMERO;NUMERO_DOCUMENTO;CPF_CNPJ_CEDENTE;CPF_CNPJ_SACADO;TIPO_RECEBIVEL;VALOR_COMPRA;VALOR_VENCIMENTO;ENTRADA;DATA_MOVIMENTO;DATA_VENCIMENTO;FUNDO_ID;CHAVE_NFE;REVISAO
910000000000000000075;QA-M-000075;800000075;83920000000560;83930000000460;NOTA_FISCAL;61513,44;65093,59;AQUISICAO_QA;2026-08-08;2026-11-13;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000560550760000000751100000753;1
910000000000000000077;QA-M-000077;800000077;83920000000218;83930000000207;NOTA_FISCAL;119489,92;125120,33;AQUISICAO_QA;2026-08-08;2026-11-15;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000218550780000000771100000779;1
910000000000000000079;QA-M-000079;800000079;83920000000480;83930000001270;NOTA_FISCAL;226938,98;240147,07;AQUISICAO_QA;2026-08-08;2026-11-17;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000480550800000000791100000791;1
910000000000000000081;QA-M-000081;800000081;83920000000137;83930000001009;NOTA_FISCAL;18072,24;18923,81;AQUISICAO_QA;2026-08-08;2026-11-19;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000137550820000000811100000814;1
910000000000000000083;QA-M-000083;800000083;83920000000307;83930000000894;NOTA_FISCAL;29957,02;31700,55;AQUISICAO_QA;2026-08-08;2026-11-21;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000307550840000000831100000838;1
910000000000000000085;QA-M-000085;800000085;83920000000560;83930000000622;NOTA_FISCAL;62075,00;65000,00;AQUISICAO_QA;2026-08-08;2026-11-23;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000560550860000000851100000852;1
910000000000000000087;QA-M-000087;800000087;83920000000218;83930000000460;NOTA_FISCAL;118150,27;125026,74;AQUISICAO_QA;2026-08-08;2026-11-25;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000218550880000000871100000878;1
910000000000000000089;QA-M-000089;800000089;83920000000480;83930000000207;NOTA_FISCAL;229251,07;240053,48;AQUISICAO_QA;2026-08-08;2026-11-27;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000480550900000000891100000890;1
910000000000000000091;QA-M-000091;800000091;83920000000137;83930000001270;NOTA_FISCAL;17794,56;18830,22;AQUISICAO_QA;2026-08-08;2026-11-29;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000137550920000000911100000913;1
910000000000000000093;QA-M-000093;800000093;83920000000307;83930000001009;NOTA_FISCAL;30184,65;31606,96;AQUISICAO_QA;2026-08-08;2026-12-01;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000307550940000000931100000937;1
910000000000000000095;QA-M-000095;800000095;83920000000560;83930000000894;NOTA_FISCAL;61551,35;65133,70;AQUISICAO_QA;2026-08-08;2026-08-30;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000560550960000000951100000951;1
910000000000000000097;QA-M-000097;800000097;83920000000218;83930000000622;NOTA_FISCAL;119528,22;125160,44;AQUISICAO_QA;2026-08-08;2026-09-01;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000218550980000000971100000977;1
910000000000000000099;QA-M-000099;800000099;83920000000480;83930000000460;NOTA_FISCAL;226976,89;240187,18;AQUISICAO_QA;2026-08-08;2026-09-03;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000480551000000000991100000990;1
910000000000000000101;QA-M-000101;800000101;83920000000137;83930000000207;NOTA_FISCAL;18110,54;18963,92;AQUISICAO_QA;2026-08-08;2026-09-05;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000137551020000001011100001018;1
910000000000000000103;QA-M-000103;800000103;83920000000307;83930000001270;NOTA_FISCAL;29780,13;31513,37;AQUISICAO_QA;2026-08-08;2026-09-07;61f02178-58af-bbfa-9a33-f97ac5b3dd96;35260883920000000307551040000001031100001031;1
